handle,variant_1,variant_2,variant_3,price
adult-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle,2295
adult-bunk-bed,2 Side Rails,No Accessories,No Trundle,2470
adult-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle,2455
adult-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle,2630
adult-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle,2615
adult-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle,2965
adult-bunk-bed,Standard (1 Side Rail),Tray,No Trundle,2410
adult-bunk-bed,2 Side Rails,Tray,No Trundle,2585
adult-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle,2570
adult-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle,2745
adult-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle,2730
adult-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle,3080
adult-bunk-bed,Standard (1 Side Rail),Tray,Trundle,2975
adult-bunk-bed,2 Side Rails,Tray,Trundle,3150
adult-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle,3135
adult-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle,3310
adult-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle,3295
adult-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle,3645
adult-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle,2860
adult-bunk-bed,2 Side Rails,No Accessories,Trundle,3035
adult-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle,3020
adult-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle,3195
adult-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle,3180
adult-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle,3530
adult-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle,2845
adult-bunk-bed,2 Side Rails,Bookshelf,No Trundle,3020
adult-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle,3005
adult-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle,3180
adult-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle,3165
adult-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle,3515
adult-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle,3410
adult-bunk-bed,2 Side Rails,Bookshelf,Trundle,3585
adult-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle,3570
adult-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle,3745
adult-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle,3730
adult-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle,4080
king-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle,2495
king-bunk-bed,2 Side Rails,No Accessories,No Trundle,2670
king-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle,2655
king-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle,2830
king-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle,2815
king-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle,3165
king-bunk-bed,Standard (1 Side Rail),Tray,No Trundle,2610
king-bunk-bed,2 Side Rails,Tray,No Trundle,2785
king-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle,2770
king-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle,2945
king-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle,2930
king-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle,3280
king-bunk-bed,Standard (1 Side Rail),Tray,Trundle,3175
king-bunk-bed,2 Side Rails,Tray,Trundle,3350
king-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle,3335
king-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle,3510
king-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle,3495
king-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle,3845
king-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle,3060
king-bunk-bed,2 Side Rails,No Accessories,Trundle,3235
king-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle,3220
king-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle,3395
king-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle,3380
king-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle,3730
king-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle,3045
king-bunk-bed,2 Side Rails,Bookshelf,No Trundle,3220
king-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle,3205
king-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle,3380
king-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle,3365
king-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle,3715
king-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle,3610
king-bunk-bed,2 Side Rails,Bookshelf,Trundle,3785
king-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle,3770
king-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle,3945
king-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle,3930
king-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle,4280
queen-over-queen-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle,2295
queen-over-queen-bunk-bed,2 Side Rails,No Accessories,No Trundle,2470
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle,2455
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle,2630
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle,2615
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle,2965
queen-over-queen-bunk-bed,Standard (1 Side Rail),Tray,No Trundle,2410
queen-over-queen-bunk-bed,2 Side Rails,Tray,No Trundle,2585
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle,2570
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle,2745
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle,2730
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle,3080
queen-over-queen-bunk-bed,Standard (1 Side Rail),Tray,Trundle,2975
queen-over-queen-bunk-bed,2 Side Rails,Tray,Trundle,3150
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle,3135
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle,3310
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle,3295
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle,3645
queen-over-queen-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle,2860
queen-over-queen-bunk-bed,2 Side Rails,No Accessories,Trundle,3035
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle,3020
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle,3195
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle,3180
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle,3530
queen-over-queen-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle,2845
queen-over-queen-bunk-bed,2 Side Rails,Bookshelf,No Trundle,3020
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle,3005
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle,3180
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle,3165
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle,3515
queen-over-queen-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle,3410
queen-over-queen-bunk-bed,2 Side Rails,Bookshelf,Trundle,3585
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle,3570
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle,3745
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle,3730
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle,4080
full-over-full-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle,2295
full-over-full-bunk-bed,2 Side Rails,No Accessories,No Trundle,2470
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle,2455
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle,2630
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle,2615
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle,2965
full-over-full-bunk-bed,Standard (1 Side Rail),Tray,No Trundle,2410
full-over-full-bunk-bed,2 Side Rails,Tray,No Trundle,2585
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle,2570
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle,2745
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle,2730
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle,3080
full-over-full-bunk-bed,Standard (1 Side Rail),Tray,Trundle,2975
full-over-full-bunk-bed,2 Side Rails,Tray,Trundle,3150
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle,3135
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle,3310
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle,3295
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle,3645
full-over-full-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle,2860
full-over-full-bunk-bed,2 Side Rails,No Accessories,Trundle,3035
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle,3020
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle,3195
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle,3180
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle,3530
full-over-full-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle,2845
full-over-full-bunk-bed,2 Side Rails,Bookshelf,No Trundle,3020
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle,3005
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle,3180
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle,3165
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle,3515
full-over-full-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle,3410
full-over-full-bunk-bed,2 Side Rails,Bookshelf,Trundle,3585
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle,3570
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle,3745
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle,3730
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle,4080
