handle,variant_1,variant_2,variant_3, price 
adult-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle," 2,295.00 "
adult-bunk-bed,2 Side Rails,No Accessories,No Trundle," 2,470.00 "
adult-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle," 2,455.00 "
adult-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle," 2,630.00 "
adult-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle," 2,615.00 "
adult-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle," 2,965.00 "
adult-bunk-bed,Standard (1 Side Rail),Tray,No Trundle," 2,410.00 "
adult-bunk-bed,2 Side Rails,Tray,No Trundle," 2,585.00 "
adult-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle," 2,570.00 "
adult-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle," 2,745.00 "
adult-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle," 2,730.00 "
adult-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle," 3,080.00 "
adult-bunk-bed,Standard (1 Side Rail),Tray,Trundle," 2,975.00 "
adult-bunk-bed,2 Side Rails,Tray,Trundle," 3,150.00 "
adult-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle," 3,135.00 "
adult-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle," 3,310.00 "
adult-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle," 3,295.00 "
adult-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle," 3,645.00 "
adult-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle," 2,860.00 "
adult-bunk-bed,2 Side Rails,No Accessories,Trundle," 3,035.00 "
adult-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle," 3,020.00 "
adult-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle," 3,195.00 "
adult-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle," 3,180.00 "
adult-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle," 3,530.00 "
adult-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle," 2,955.00 "
adult-bunk-bed,2 Side Rails,Bookshelf,No Trundle," 3,130.00 "
adult-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle," 3,115.00 "
adult-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle," 3,290.00 "
adult-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle," 3,275.00 "
adult-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle," 3,625.00 "
adult-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle," 3,520.00 "
adult-bunk-bed,2 Side Rails,Bookshelf,Trundle," 3,695.00 "
adult-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle," 3,680.00 "
adult-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle," 3,855.00 "
